tipo,localizacao,ser,prox_centro,prox_orla,area,quartos,banheiros,vagas,condo,preco
Apartamento,Meireles,SER2,1,1,219,3,4,3,2500.0,2199000.0
Apartamento,Cocó,SER7,0,0,142,3,4,2,1200.0,380000.0
Apartamento,Meireles,SER2,1,1,285,3,5,4,2650.0,3150000.0
Apartamento,Fátima,SER4,0,0,120,3,4,2,1050.0,590000.0
Apartamento,Praia de Iracema,SER12,1,1,178,3,3,2,1825.0,920000.0
Apartamento,Meireles,SER2,1,1,158,3,3,4,1300.0,790000.0
Apartamento,Meireles,SER2,1,1,119,3,4,2,800.0,520000.0
Apartamento,Presidente Kennedy,SER3,0,0,79,3,2,1,699.0,239000.0
Apartamento,Aldeota,SER2,1,0,163,3,5,3,0.0,2450000.0
Apartamento,Vicente Pinzon,SER2,0,0,161,3,2,2,1563.0,285000.0
Apartamento,Papicu,SER2,0,0,75,3,2,1,425.0,200000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,146,3,4,3,1175.0,1990000.0
Apartamento,Meireles,SER2,1,1,143,3,4,2,1350.0,715000.0
Apartamento,Parquelândia,SER3,0,0,141,3,4,1,1000.0,530000.0
Apartamento,Benfica,SER4,1,0,95,3,3,1,450.0,380000.0
Apartamento,Mondubim,SER10,0,0,44,2,1,1,400.0,174800.0
Apartamento,Coaçu,SER6,0,0,45,2,2,1,0.0,285000.0
Apartamento,Meireles,SER2,1,1,131,4,4,2,1700.0,750000.0
Apartamento,Papicu,SER2,0,0,110,3,4,1,900.0,340000.0
Apartamento,Meireles,SER2,1,1,100,3,4,4,1200.0,1200000.0
Apartamento,Boa Vista,SER8,0,0,40,2,1,1,300.0,185000.0
Apartamento,Dendê,SER8,0,0,43,2,1,1,240.0,245000.0
Apartamento,Meireles,SER2,1,1,302,4,6,4,3080.0,2300000.0
Apartamento,Meireles,SER2,1,1,64,2,2,2,800.0,715000.0
Apartamento,Centro,SER12,0,0,113,3,3,1,1350.0,320000.0
Apartamento,Meireles,SER2,1,1,231,4,5,2,1970.0,1150000.0
Apartamento,Papicu,SER2,0,0,139,3,4,2,1300.0,530000.0
Apartamento,José de Alencar,SER6,0,0,83,4,4,2,495.0,350000.0
Apartamento,Mucuripe,SER2,0,1,272,4,5,2,2300.0,1600000.0
Apartamento,Sapiranga,SER7,0,0,66,3,1,2,630.0,230000.0
Apartamento,Aldeota,SER2,1,0,111,3,3,2,1400.0,630000.0
Apartamento,Meireles,SER2,1,1,111,3,3,1,890.0,650000.0
Apartamento,Dionisio Torres,SER2,0,0,207,4,4,2,1350.0,560000.0
Apartamento,Aldeota,SER2,1,0,94,2,3,2,930.0,560000.0
Apartamento,Jacarecanga,SER1,1,0,104,3,3,1,1000.0,290000.0
Apartamento,Aldeota,SER2,1,0,170,4,4,3,1500.0,890000.0
Apartamento,Cocó,SER7,0,0,83,3,1,2,750.0,910000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,211,4,6,3,1650.0,848000.0
Apartamento,Aldeota,SER2,1,0,120,4,2,2,1334.0,405000.0
Apartamento,Parreão,Outros,0,0,52,3,2,2,300.0,280000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,110,3,4,2,800.0,1050000.0
Apartamento,Dionisio Torres,SER2,0,0,119,3,4,2,0.0,1500000.0
Apartamento,Patriolino Ribeiro,SER7,0,0,143,3,3,4,1847.0,849900.0
Apartamento,Meireles,SER2,1,1,84,3,2,1,1300.0,299000.0
Apartamento,Aldeota,SER2,1,0,189,4,5,2,1670.0,799000.0
Apartamento,Meireles,SER2,1,1,53,1,1,1,650.0,360000.0
Apartamento,Aldeota,SER2,1,0,127,3,3,3,1200.0,880000.0
Apartamento,Papicu,SER2,0,0,107,4,3,1,850.0,350000.0
Apartamento,Meireles,SER2,1,1,62,2,2,1,1568.0,500000.0
Apartamento,Aldeota,SER2,1,0,158,4,5,2,980.0,700000.0
Apartamento,Vicente Pinzon,SER2,0,0,118,3,4,2,1090.0,430000.0
Apartamento,Joaquim Távora,SER2,1,0,91,3,2,1,802.0,265000.0
Apartamento,Meireles,SER2,1,1,58,2,2,1,0.0,940000.0
Apartamento,Papicu,SER2,0,0,117,3,3,1,883.0,300000.0
Apartamento,Aldeota,SER2,1,0,64,3,2,1,630.0,560000.0
Apartamento,Papicu,SER2,0,0,78,2,3,1,0.0,300000.0
Apartamento,Montese,SER4,0,0,85,3,2,1,440.0,260000.0
Apartamento,Parreão,Outros,0,0,82,3,3,2,459.0,289000.0
Apartamento,Montese,SER4,0,0,100,3,2,1,0.0,330000.0
Apartamento,Benfica,SER4,1,0,127,3,4,2,380.0,299000.0
Apartamento,Damas,SER4,0,0,86,3,2,1,300.0,250000.0
Apartamento,Joaquim Távora,SER2,1,0,197,3,5,2,1200.0,590000.0
Apartamento,Meireles,SER2,1,1,87,3,3,1,800.0,290000.0
Apartamento,Mucuripe,SER2,0,1,57,2,2,1,1280.0,500000.0
Apartamento,Mucuripe,SER2,0,1,53,2,2,2,0.0,840000.0
Apartamento,Messejana,SER6,0,0,74,3,2,1,835.0,290000.0
Apartamento,Mondubim,SER10,0,0,55,3,2,1,307.0,370000.0
Apartamento,Meireles,SER2,1,1,319,3,4,5,3600.0,2990000.0
Apartamento,Jacarecanga,SER1,1,0,48,2,1,1,450.0,265000.0
Apartamento,Meireles,SER2,1,1,137,4,4,2,1300.0,670000.0
Apartamento,Aldeota,SER2,1,0,176,4,4,2,1730.0,920000.0
Apartamento,Paupina,SER6,0,0,41,2,1,1,346.0,180000.0
Apartamento,Meireles,SER2,1,1,129,4,3,2,1100.0,650000.0
Apartamento,Cocó,SER7,0,0,68,3,2,2,769.0,650000.0
Apartamento,Cocó,SER7,0,0,98,3,3,2,804.0,930000.0
Apartamento,Meireles,SER2,1,1,312,4,6,4,3400.0,3400000.0
Apartamento,Vicente Pinzon,SER2,0,0,107,3,2,1,850.0,350000.0
Apartamento,Centro,SER12,0,0,55,2,2,1,494.0,430000.0
Apartamento,Meireles,SER2,1,1,60,2,2,1,650.0,1500000.0
Apartamento,Damas,SER4,0,0,86,4,3,2,350.0,270000.0
Apartamento,Aldeota,SER2,1,0,90,3,3,2,1000.0,875000.0
Apartamento,Jardim América,Outros,0,0,77,3,2,1,0.0,350000.0
Apartamento,Jangurussu,SER9,0,0,59,2,2,1,220.0,210000.0
Apartamento,Edson Queiroz,SER7,0,0,54,2,2,1,400.0,500000.0
Apartamento,Meireles,SER2,1,1,127,3,3,1,710.0,270000.0
Apartamento,Papicu,SER2,0,0,114,3,2,1,751.0,440000.0
Apartamento,Papicu,SER2,0,0,117,3,3,1,738.0,590000.0
Apartamento,Fátima,SER4,0,0,115,3,3,1,990.0,350000.0
Apartamento,Meireles,SER2,1,1,123,2,2,2,1200.0,580000.0
Apartamento,Papicu,SER2,0,0,78,2,3,2,680.0,290000.0
Apartamento,Praia do Futuro,Outros,0,0,134,3,3,1,650.0,236000.0
Apartamento,Joaquim Távora,SER2,1,0,110,3,4,4,0.0,916897.0
Apartamento,de Lourdes,SER2,0,0,61,2,2,2,500.0,489000.0
Apartamento,Joaquim Távora,SER2,1,0,78,3,3,2,0.0,954660.0
Apartamento,Aldeota,SER2,1,0,38,1,1,1,0.0,650000.0
Apartamento,Manoel Dias Branco,SER7,0,0,116,4,3,2,994.0,1450000.0
Apartamento,Damas,SER4,0,0,80,3,2,1,510.0,250000.0
Apartamento,Dionisio Torres,SER2,0,0,50,2,2,1,522.0,700000.0
Apartamento,Antônio Bezerra,SER3,0,0,107,3,2,2,350.0,300000.0
Apartamento,Paupina,SER6,0,0,48,3,1,1,350.0,190000.0
Apartamento,Aldeota,SER2,1,0,123,3,2,1,398.0,450000.0
Apartamento,Fátima,SER4,0,0,109,3,3,1,738.0,230000.0
Apartamento,Aldeota,SER2,1,0,39,1,1,1,0.0,445000.0
Apartamento,Mucuripe,SER2,0,1,69,2,2,1,690.0,495000.0
Apartamento,Mucuripe,SER2,0,1,147,3,4,2,1250.0,830000.0
Apartamento,Meireles,SER2,1,1,193,3,4,2,1400.0,800000.0
Apartamento,Monte Castelo,SER3,0,0,94,3,3,1,590.0,260000.0
Apartamento,Meireles,SER2,1,1,57,2,2,1,0.0,1180000.0
Apartamento,Meireles,SER2,1,1,192,3,2,2,1500.0,800000.0
Apartamento,Cocó,SER7,0,0,55,23,2,1,0.0,498000.0
Apartamento,Praia do Futuro,SER7,0,1,38,2,1,1,10.0,243000.0
Apartamento,Praia do Futuro,Outros,0,0,53,23,2,1,0.0,418000.0
Apartamento,Papicu,SER2,0,0,100,3,3,1,760.0,350000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,68,3,2,2,900.0,280000.0
Apartamento,Guararapes,SER7,0,0,143,3,3,3,1263.0,1290000.0
Apartamento,Guararapes,SER7,0,0,292,4,1,4,0.0,3200000.0
Apartamento,Aldeota,SER2,1,0,67,1,1,1,1250.0,715000.0
Apartamento,Meireles,SER2,1,1,124,3,3,2,1425.0,650000.0
Apartamento,Fátima,SER4,0,0,96,3,4,2,960.0,1150000.0
Apartamento,Guararapes,SER7,0,0,76,3,2,3,780.0,750000.0
Apartamento,Praia de Iracema,SER12,1,1,54,2,2,1,0.0,700000.0
Apartamento,Meireles,SER2,1,1,253,4,5,4,3000.0,2199900.0
Apartamento,Cocó,SER7,0,0,99,3,3,1,960.0,320000.0
Apartamento,Cocó,SER7,0,0,165,3,5,3,2150.0,1800000.0
Apartamento,Aldeota,SER2,1,0,136,3,5,2,1150.0,1300000.0
Apartamento,Meireles,SER2,1,1,73,3,2,2,890.0,680000.0
Apartamento,Parque Iracema,SER6,0,0,71,2,2,2,650.0,550000.0
Apartamento,Edson Queiroz,SER7,0,0,54,2,2,1,358.0,648209.0
Apartamento,Damas,SER4,0,0,94,4,1,1,0.0,200000.0
Apartamento,Engenheiro Luciano Cavalcante,SER7,0,0,111,4,4,2,800.0,1050000.0
Apartamento,Dionisio Torres,SER2,0,0,121,3,4,3,950.0,750000.0
Apartamento,Meireles,SER2,1,1,40,1,1,1,300.0,569000.0
Apartamento,São Gerardo,SER3,0,0,51,2,2,1,0.0,334000.0
Apartamento,Messejana,SER6,0,0,72,3,2,2,480.0,420000.0
Apartamento,Paupina,SER6,0,0,41,2,1,1,300.0,215000.0
Apartamento,Papicu,SER2,0,0,82,3,3,1,890.0,399000.0
Apartamento,Papicu,SER2,0,0,69,3,3,1,650.0,530000.0
Apartamento,Praia do Futuro,SER7,0,1,49,2,2,1,400.0,340000.0
Apartamento,Varjota,SER2,0,0,89,3,3,2,0.0,1163371.0
Apartamento,Meireles,SER2,1,1,518,4,5,5,3200.0,6500000.0
Apartamento,Cocó,SER7,0,0,96,2,3,2,950.0,950000.0
Apartamento,Passaré,SER8,0,0,58,3,1,2,320.0,350000.0
Apartamento,Cocó,SER7,0,0,263,4,1,2,1899.0,3100000.0
Apartamento,Cocó,SER7,0,0,73,3,2,2,700.0,520000.0
Apartamento,Aldeota,SER2,1,0,330,4,5,4,1800.0,1800000.0
Apartamento,Cocó,SER7,0,0,73,3,2,2,625.0,800000.0
Apartamento,Parquelândia,SER3,0,0,77,3,3,2,535.0,590000.0
Apartamento,Dionisio Torres,SER2,0,0,118,3,4,2,1025.0,1180000.0
Apartamento,Jangurussu,SER9,0,0,45,2,1,1,0.0,120000.0
Apartamento,Cambeba,SER6,0,0,129,3,4,2,179.0,699000.0
Apartamento,Praia de Iracema,SER12,1,1,125,3,4,1,900.0,315000.0
Apartamento,Maraponga,SER10,0,0,83,3,2,1,200.0,160000.0
Apartamento,Aldeota,SER2,1,0,120,4,2,2,1300.0,440000.0
Apartamento,Meireles,SER2,1,1,105,2,3,2,1340.0,1250000.0
Apartamento,Cocó,SER7,0,0,116,3,4,3,0.0,1470000.0
Apartamento,Dionisio Torres,SER2,0,0,134,3,3,3,1200.0,670000.0
Apartamento,Guararapes,SER7,0,0,235,4,5,4,0.0,2942046.0
Apartamento,Itaperi,SER8,0,0,48,2,1,1,320.0,142000.0
Apartamento,Praia do Futuro,Outros,0,0,77,2,2,1,0.0,450000.0
Apartamento,Varjota,SER2,0,0,106,3,3,2,730.0,790000.0
Apartamento,Meireles,SER2,1,1,170,3,4,2,1562.0,750000.0
