id,origem,tipo,localizacao,ser,area,quartos,banheiros,vagas,condo,preco,timestamp_extracao
6dba2f7c-f8ee-4f42-9ce4-75006154b6be,Chaves na Mão,Condomínio,Sapiranga,SER7,125,3,4,2,0.0,740000.0,2025-04-23 23:07:07.008526
af98fd5b-a9e6-437d-a8ad-5ab4119b5a37,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,165,4,5,3,1516.0,790000.0,2025-04-23 23:07:07.008526
31cdd47f-e284-4e7b-9bf3-0628f09f4f6e,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,390,3,3,6,0.0,1780000.0,2025-04-23 23:07:07.008526
7bd305f1-c1b1-4bdf-81da-863fdbeb6ec4,Chaves na Mão,Condomínio,Messejana,SER6,120,2,2,2,180.0,210000.0,2025-04-23 23:07:07.008526
bdf36054-6440-4003-b1ed-280f6b1f0bb3,Chaves na Mão,Condomínio,Engenheiro Luciano Cavalcante,SER7,600,4,5,4,0.0,1700000.0,2025-04-23 23:07:07.008526
fee1ce78-ec96-466c-908f-1d12baa16cb5,Chaves na Mão,Condomínio,José de Alencar,SER6,128,3,4,2,850.0,520000.0,2025-04-23 23:07:07.008526
e191e99b-9a7d-4201-8218-a5ccb0f64104,Chaves na Mão,Condomínio,Messejana,SER6,130,3,4,2,0.0,730000.0,2025-04-23 23:07:07.008526
812c944e-8bbc-40f0-a211-2c4c4a4d6ecb,Chaves na Mão,Condomínio,Edson Queiroz,SER7,178,4,4,3,1550.0,1220000.0,2025-04-23 23:07:07.008526
d2c8d738-f8e7-4114-991f-ccb4e94ad46a,Chaves na Mão,Condomínio,Coité,Outro,133,4,4,3,550.0,465000.0,2025-04-23 23:07:07.008526
9cfaa26a-3b32-4b99-80ae-a8e0953c9c95,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,187,3,4,3,0.0,895000.0,2025-04-23 23:07:07.008526
04dc0a2d-791c-47bb-9091-15c417bfa4a9,Chaves na Mão,Condomínio,Eusébio,Outro,170,3,4,4,1250.0,840000.0,2025-04-23 23:07:07.008526
285f3c5f-8c88-4fc4-820d-e8a122a4fe5e,Chaves na Mão,Condomínio,Jardim das Oliveiras,SER6,202,4,5,2,0.0,820000.0,2025-04-23 23:07:07.008526
8573d116-2895-4fbf-8c4b-47719e24ab75,Chaves na Mão,Condomínio,Passaré,SER8,86,3,3,2,600.0,350000.0,2025-04-23 23:07:07.008526
8d12a267-6e7e-49f9-95d8-2cf2690f01b1,Chaves na Mão,Condomínio,Centro,SER12,741,10,3,7,6257.0,2900000.0,2025-04-23 23:07:07.008526
4357923a-4587-4c13-bfc3-5be4936d32b8,Chaves na Mão,Condomínio,Lagoa Redonda,SER6,148,3,1,3,0.0,1102451.0,2025-04-23 23:07:07.008526
f933d152-97d8-4a0c-a92f-1f12780b25b5,Chaves na Mão,Condomínio,José de Alencar,SER6,277,3,5,2,2000.0,1300000.0,2025-04-23 23:07:07.008526
8976f0ed-263c-4380-b7a1-28a6c0663350,Chaves na Mão,Condomínio,Alphaville Fortaleza,Outro,425,5,7,4,1250.0,3900000.0,2025-04-23 23:07:07.008526
b6acb6c9-ff5e-43a1-945b-05bd64257fb7,Chaves na Mão,Condomínio,Sapiranga,SER7,229,3,4,3,1627.0,1400000.0,2025-04-23 23:07:07.008526
